nulls,facts,mysqlChase,mysqlNullBucket,mysqlPartitions,mysqlSimplifications,neoChase,neoNullBucket,neoPartitions,neoSimplifications
0,44157,6.33,60.3,9.66,0.05,89122.77,81.5,0.9,13.57
50,16559,6.70,28.40,29.60,17.00,2643.30,46.83,2.87,166.83
100,24839,6.30,38.43,42.80,37.18,5455.52,65.9,4.94,282.94
190,2248,6.20,11.20,46.55,66.15,4597.67,9.03,5.30,101.20
200,33118,7.65,48.50,67.80,72.55,15329.17,94.57,17.73,415.07
250,82795,8.40,114.95,114.45,94.15,192572.80,166.47,5.80,68.73
340,604,0.00,5.10,31.15,36.90,18.33,2.73,15.93,310.83
380,4496,6.10,15.20,101.20,135.10,2175.58,22.07,9.80,143.44
500,49677,7.65,67.58,160.25,166.25,88574.15,106.24,18.69,171.18
680,1208,0.00,6.60,66.80,77.65,297.17,5.00,2.60,248.63
950,11240,6.75,23.45,439.35,330.75,3534.53,33.93,20.97,203.17
1000,24839,6.58,38.25,394.45,308.73,9454.27,61.79,41.74,441.75
1183,16559,6.65,29.10,505.25,362.75,38.40,37.93,24.07,152.00
1700,3020,0.00,10.40,235.40,214.55,17.57,10.00,1.48,259.90
2000,33118,6.25,48.65,1394.65,604.15,20372.67,79.93,110.97,721.03
2366,33118,6.35,49.65,1923.95,729.30,8157.53,72.47,75.10,484.47
2500,82795,7.30,108.70,2253.30,811.35,252306.60,205.27,137.60,612.67
5000,82795,8.05,113.50,7966.20,1489.70,357438.60,34.00,455.60,21769.47
5915,82795,8.60,113.75,10249.10,1879.50,419753.27,115.60,2.37,292.53
